stream_id	PropertyID	decoder(27)	read_as(26.1)	callers(26.1)
	59	-	float×1	md::trafficWidthForSpeedAtZ×1
	60	-	float×1	OOL md::setupSharedStylingParameters×1
	61	-	float×1	OOL md::setupSharedStylingParameters×1
	62	-	float×1	OOL md::setupSharedStylingParameters×1
	63	-	float×1	OOL md::setupSharedStylingParameters×1
	69	-	float×1	loat md::trafficSecondaryWidthForSpeedAtZ×1
	70	-	float×1	md::trafficWidthForSpeedAtZ×1
	71	-	float×1	OOL md::setupSharedStylingParameters×1
	72	-	float×1	OOL md::setupSharedStylingParameters×1
	73	-	float×1	OOL md::setupSharedStylingParameters×1
	74	-	float×1	OOL md::setupSharedStylingParameters×1
	80	-	float×1	loat md::trafficSecondaryWidthForSpeedAtZ×1
	81	-	float×1	md::trafficWidthForSpeedAtZ×1
	82	-	float×1	OOL md::setupSharedStylingParameters×1
	83	-	float×1	OOL md::setupSharedStylingParameters×1
	84	-	float×1	OOL md::setupSharedStylingParameters×1
	85	-	float×1	OOL md::setupSharedStylingParameters×1
